Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Total_Pages_Viewed,Total_Browsing_Duration,Product_Page_Share,Avg_Duration_Per_Page,Product_Duration_Share,Revenue
1,14.0,0,0.0,7,170.75,0.0,0.025,0.0,0.0,Nov,1,1,1,2,New_Visitor,False,8,184.75,0.875,23.09375,0.9242219215155616,False
1,0.0,0,0.0,7,37.0,0.083333333,0.108333333,0.0,0.6,May,1,1,2,4,Returning_Visitor,False,8,37.0,0.875,4.625,1.0,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Nov,1,1,1,20,Returning_Visitor,False,1,0.0,1.0,0.0,0.0,False
12,739.2091954,1,16.0,21,1321.059195,0.009032258,0.025133361,78.34560177,0.0,Mar,2,2,1,8,Returning_Visitor,False,34,2076.2683904,0.6176470588235294,61.06671736470588,0.6362661017757408,True
7,98.8,0,0.0,5,69.4,0.022222222,0.033333333,0.0,0.0,Jul,3,2,2,5,New_Visitor,True,12,168.2,0.4166666666666667,14.016666666666666,0.4126040428061832,False
8,157.0,4,60.0,24,1192.5,0.015151515,0.033760684,5.689554113,0.0,May,2,2,1,7,Returning_Visitor,False,36,1409.5,0.6666666666666666,39.15277777777778,0.8460446967009578,False
0,0.0,0,0.0,7,666.0,0.0,0.014285714,0.0,0.0,Feb,1,1,6,2,Returning_Visitor,False,7,666.0,1.0,95.14285714285714,1.0,False
0,0.0,0,0.0,14,207.1666667,0.042857143,0.083333333,0.0,0.6,May,2,2,7,11,Returning_Visitor,False,14,207.1666667,1.0,14.79761905,1.0,False
0,0.0,0,0.0,3,109.0,0.0,0.033333333,0.0,0.0,May,3,2,4,4,Returning_Visitor,True,3,109.0,1.0,36.333333333333336,1.0,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Nov,1,8,1,11,Returning_Visitor,False,1,0.0,1.0,0.0,0.0,False
0,0.0,0,0.0,2,404.0,0.0,0.1,0.0,0.0,May,2,2,6,13,Returning_Visitor,False,2,404.0,1.0,202.0,1.0,False
10,295.6940559,0,0.0,29,785.474359,0.0,0.001481481,34.99166667,0.0,May,2,2,5,4,Returning_Visitor,True,39,1081.1684149,0.7435897435897436,27.72226704871795,0.726505092245643,True
1,41.4,0,0.0,30,684.6,0.019354839,0.041935484,0.0,0.0,Aug,2,2,5,1,Returning_Visitor,False,31,726.0,0.967741935483871,23.41935483870968,0.9429752066115704,False
0,0.0,0,0.0,11,335.0,0.036363636,0.060606061,0.0,0.0,Nov,3,2,1,13,Returning_Visitor,True,11,335.0,1.0,30.454545454545453,1.0,False
0,0.0,0,0.0,3,0.0,0.2,0.2,0.0,0.0,Jul,1,2,8,1,Returning_Visitor,False,3,0.0,1.0,0.0,0.0,False
1,17.5,0,0.0,8,163.0,0.0,0.011111111,0.0,0.0,Mar,3,2,1,2,New_Visitor,True,9,180.5,0.8888888888888888,20.05555555555556,0.9030470914127424,False
0,0.0,0,0.0,25,585.0,0.0,0.016,0.0,0.0,Mar,4,1,1,3,Returning_Visitor,False,25,585.0,1.0,23.4,1.0,False
1,29.2,0,0.0,7,75.6,0.0,0.025,0.0,0.0,Aug,1,1,4,2,New_Visitor,True,8,104.8,0.875,13.1,0.7213740458015266,False
4,80.5,0,0.0,27,472.5,0.0,0.015384615,0.0,0.0,Dec,4,1,3,1,Returning_Visitor,True,31,553.0,0.8709677419354839,17.838709677419356,0.8544303797468354,False
0,0.0,0,0.0,10,300.0,0.0,0.05,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,10,300.0,1.0,30.0,1.0,False
0,0.0,0,0.0,6,83.5,0.0,0.066666667,0.0,0.0,Nov,1,1,3,10,Returning_Visitor,False,6,83.5,1.0,13.916666666666666,1.0,False
1,28.0,4,162.0,23,659.0833333,0.013580247,0.020440917,21.1162963,0.0,May,2,2,8,1,Returning_Visitor,False,28,849.0833333,0.8214285714285714,30.324404760714287,0.776229266847629,False
0,0.0,0,0.0,25,1512.52381,0.0,0.024,0.0,0.0,Mar,2,2,3,11,Returning_Visitor,False,25,1512.52381,1.0,60.5009524,1.0,False
2,630.5333333,0,0.0,33,357.8895238,0.0,0.007894737,0.0,0.0,Oct,3,2,7,4,Returning_Visitor,False,35,988.4228571,0.9428571428571428,28.24065306,0.3620813918144669,False
0,0.0,0,0.0,57,1091.005876,0.007017544,0.027875244,0.0,0.0,Nov,2,2,6,2,Returning_Visitor,False,57,1091.005876,1.0,19.14045396491228,1.0,False
2,13.0,0,0.0,19,637.4285714,0.00952381,0.042857143,13.1307834,0.0,Nov,2,2,1,3,Returning_Visitor,False,21,650.4285714,0.9047619047619048,30.972789114285717,0.9800131781234356,False
3,54.5,0,0.0,6,148.75,0.022222222,0.033333333,0.0,0.0,Nov,3,2,1,3,Returning_Visitor,False,9,203.25,0.6666666666666666,22.58333333333333,0.7318573185731857,False
8,57.5,0,0.0,44,845.8333333,0.004255319,0.012765957,19.29753191,0.6,May,2,2,1,3,Returning_Visitor,False,52,903.3333333,0.8461538461538461,17.371794871153845,0.9363468634662858,True
0,0.0,0,0.0,10,257.0,0.0,0.01,0.0,0.0,May,2,5,2,2,Returning_Visitor,False,10,257.0,1.0,25.7,1.0,False
2,91.0,0,0.0,94,4698.796429,0.0,0.017659574,0.0,0.0,Nov,2,2,5,2,Returning_Visitor,True,96,4789.796429,0.9791666666666666,49.893712802083336,0.9810012802529484,False
0,0.0,0,0.0,18,391.5833333,0.0,0.025,0.0,0.0,Dec,2,2,7,2,New_Visitor,False,18,391.5833333,1.0,21.754629627777778,1.0,False
0,0.0,0,0.0,20,513.3333333,0.0,0.015357143,0.0,0.0,Dec,2,2,3,2,Returning_Visitor,False,20,513.3333333,1.0,25.666666665,1.0,False
5,188.0,0,0.0,25,1189.458333,0.0,0.006150794,36.89921429,0.6,May,2,10,1,4,Returning_Visitor,False,30,1377.458333,0.8333333333333334,45.91527776666667,0.8635167427601601,True
1,24.0,1,239.0,11,839.5,0.016666667,0.05,0.0,0.0,Mar,1,1,4,2,Returning_Visitor,False,13,1102.5,0.8461538461538461,84.8076923076923,0.7614512471655329,False
0,0.0,0,0.0,14,1049.05,0.0,0.016666667,0.0,0.0,Nov,3,2,1,20,Returning_Visitor,False,14,1049.05,1.0,74.93214285714285,1.0,False
0,0.0,0,0.0,12,76.66666667,0.016666667,0.0375,0.0,0.0,Nov,2,2,3,13,Returning_Visitor,False,12,76.66666667,1.0,6.388888889166666,1.0,False
0,0.0,0,0.0,4,67.5,0.0,0.05,0.0,0.6,May,2,2,1,2,Returning_Visitor,False,4,67.5,1.0,16.875,1.0,False
2,25.0,0,0.0,6,65.0,0.0,0.025,0.0,0.0,Mar,2,2,1,2,New_Visitor,True,8,90.0,0.75,11.25,0.7222222222222222,False
0,0.0,0,0.0,19,1440.166667,0.026315789,0.040350877,0.0,0.0,Nov,1,1,1,1,Returning_Visitor,False,19,1440.166667,1.0,75.79824563157895,1.0,False
0,0.0,0,0.0,7,129.25,0.0,0.033333333,0.0,0.0,Dec,1,1,4,2,New_Visitor,True,7,129.25,1.0,18.464285714285715,1.0,False
3,56.0,0,0.0,61,1669.988095,0.008064516,0.025778523,0.0,0.0,Nov,1,1,7,2,Returning_Visitor,False,64,1725.988095,0.953125,26.968563984375,0.9675548167671458,False
8,318.8012821,3,164.0,107,4447.110508,0.001169591,0.013146819,0.0,0.0,Nov,2,2,1,3,Returning_Visitor,False,118,4929.9117901,0.9067796610169492,41.77891347542373,0.9020669531918324,True
0,0.0,0,0.0,11,546.75,0.036363636,0.054545455,0.0,0.0,Nov,2,2,5,1,Returning_Visitor,False,11,546.75,1.0,49.70454545454545,1.0,False
0,0.0,0,0.0,15,438.6666667,0.023076923,0.039487179,0.0,0.0,Nov,1,1,1,3,Returning_Visitor,False,15,438.6666667,1.0,29.244444446666662,1.0,False
3,92.0,0,0.0,91,4155.620833,0.002553191,0.022150056,0.0,0.0,Nov,1,2,1,2,Returning_Visitor,True,94,4247.620833,0.9680851063829788,45.18745567021276,0.9783408162787868,False
4,243.68,0,0.0,12,1256.0,0.0,0.01875,0.0,0.0,June,2,2,3,1,New_Visitor,False,16,1499.68,0.75,93.73,0.8375120025605463,False
1,67.5,0,0.0,12,592.25,0.0,0.018181818,218.8649096,0.0,Dec,1,1,5,3,New_Visitor,False,13,659.75,0.9230769230769232,50.75,0.8976885183781735,True
0,0.0,0,0.0,9,249.41,0.022222222,0.005128205,0.0,0.0,Nov,1,2,1,4,Returning_Visitor,False,9,249.41,1.0,27.712222222222223,1.0,False
1,25.5,0,0.0,0,0.0,0.0,0.066666667,0.0,0.0,Nov,1,1,8,8,New_Visitor,False,1,25.5,0.0,25.5,0.0,True
11,1064.0,1,10.0,58,3816.366667,0.010606061,0.028059163,6.221045455,0.0,May,2,5,3,1,Returning_Visitor,True,70,4890.366667,0.8285714285714286,69.86238095714286,0.780384565589466,False
6,174.4571429,2,24.2,107,1688.2494,0.0,0.016407828,2.385969641,0.0,June,2,4,1,2,Returning_Visitor,True,115,1886.9065429,0.9304347826086956,16.40788298173913,0.8947180804224238,False
2,64.75,0,0.0,44,1157.97619,0.0,0.013953488,0.0,0.0,Nov,2,2,1,10,Returning_Visitor,False,46,1222.72619,0.9565217391304348,26.581004130434785,0.9470445627732894,False
4,324.5,0,0.0,30,1456.783333,0.0,0.009019608,30.01288235,0.0,May,2,2,4,2,Returning_Visitor,False,34,1781.283333,0.8823529411764706,52.39068626470589,0.817827970436638,True
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Nov,3,2,1,3,Returning_Visitor,False,1,0.0,1.0,0.0,0.0,False
0,0.0,0,0.0,20,275.6666667,0.066666667,0.114814815,0.0,0.0,May,2,2,1,4,Returning_Visitor,False,20,275.6666667,1.0,13.783333335,1.0,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.6,Feb,4,2,1,3,Returning_Visitor,False,1,0.0,1.0,0.0,0.0,False
2,28.2,1,0.0,114,3161.074762,0.017699115,0.042576205,0.0,0.0,Aug,2,2,2,1,Returning_Visitor,False,117,3189.274762,0.9743589743589745,27.25875864957265,0.991157864372176,False
0,0.0,0,0.0,8,623.0769231,0.0,0.010884354,0.0,0.0,May,3,2,4,3,Returning_Visitor,False,8,623.0769231,1.0,77.8846153875,1.0,False
0,0.0,0,0.0,16,213.8,0.00625,0.06875,0.0,0.0,Aug,2,2,1,4,Returning_Visitor,False,16,213.8,1.0,13.3625,1.0,True
0,0.0,0,0.0,3,255.0,0.0,0.066666667,0.0,0.0,June,2,2,3,4,Returning_Visitor,False,3,255.0,1.0,85.0,1.0,False
1,4.75,2,78.0,67,1231.136508,0.002985075,0.0110199,0.0,0.0,Mar,2,6,1,1,Returning_Visitor,False,70,1313.886508,0.9571428571428572,18.76980725714286,0.937018913356556,False
7,398.0,0,0.0,27,770.3133333,0.006060606,0.03030303,10.05190252,0.0,Oct,1,8,3,3,Returning_Visitor,False,34,1168.3133333,0.7941176470588235,34.36215686176471,0.6593379629796612,True
0,0.0,1,0.0,0,0.0,0.2,0.2,0.0,0.0,Nov,1,1,3,15,Returning_Visitor,False,1,0.0,0.0,0.0,0.0,False
0,0.0,0,0.0,17,1673.653846,0.039215686,0.05122549,0.0,0.0,May,3,2,3,4,Returning_Visitor,False,17,1673.653846,1.0,98.45022623529412,1.0,False
3,199.75,0,0.0,8,331.4,0.0,0.003333333,0.0,0.0,Mar,3,2,2,10,New_Visitor,False,11,531.15,0.7272727272727273,48.28636363636363,0.6239292102042737,False
4,57.3,0,0.0,25,488.7166667,0.021428571,0.067517007,0.0,0.0,June,2,5,1,1,Returning_Visitor,False,29,546.0166667,0.8620689655172413,18.82816092068965,0.8950581484145749,False
0,0.0,0,0.0,1,41.5,0.133333333,0.15,0.0,0.0,Dec,3,2,3,1,Returning_Visitor,True,1,41.5,1.0,41.5,1.0,False
5,126.25,0,0.0,15,286.5166667,0.005263158,0.01754386,0.0,0.0,Dec,1,1,2,10,Returning_Visitor,False,20,412.7666667,0.75,20.638333335,0.6941371235004331,False
0,0.0,0,0.0,6,69.25,0.0,0.044444444,0.0,0.0,Mar,2,2,4,3,Returning_Visitor,False,6,69.25,1.0,11.541666666666666,1.0,False
6,1489.041667,0,0.0,12,879.8,0.0,0.005555556,0.0,0.0,Nov,2,2,4,2,New_Visitor,True,18,2368.841667,0.6666666666666666,131.6023148333333,0.3714051522549481,False
1,15.8,3,97.8,32,1213.65,0.005405405,0.024324324,1.273317415,0.0,Aug,2,2,3,2,Returning_Visitor,False,36,1327.25,0.8888888888888888,36.86805555555556,0.9144094933132416,True
0,0.0,0,0.0,14,208.9,0.0,0.014285714,0.0,0.0,Nov,1,8,4,11,Returning_Visitor,True,14,208.9,1.0,14.921428571428573,1.0,False
0,0.0,0,0.0,8,135.25,0.0,0.05,0.0,0.0,Nov,2,2,9,1,Returning_Visitor,False,8,135.25,1.0,16.90625,1.0,False
2,78.0,0,0.0,22,325.0,0.0,0.007246377,19.10349568,0.0,Dec,4,1,3,1,Returning_Visitor,True,24,403.0,0.9166666666666666,16.791666666666668,0.8064516129032258,True
15,275.9104437,6,606.75,47,1813.86461,0.007377049,0.019090804,9.417272131,0.0,May,3,2,4,6,Returning_Visitor,True,68,2696.5250537,0.6911764705882353,39.654780201470594,0.6726674419401854,False
0,0.0,3,27.6,11,1167.187143,0.030769231,0.040384615,0.0,0.0,June,3,2,2,2,Returning_Visitor,False,14,1194.787143,0.7857142857142857,85.34193878571429,0.9768996509866194,False
0,0.0,0,0.0,11,458.5,0.0,0.007407407,0.0,0.0,May,1,1,1,4,Returning_Visitor,True,11,458.5,1.0,41.68181818181818,1.0,False
3,171.375,0,0.0,29,1343.946429,0.035714286,0.034983766,0.0,0.0,Nov,3,2,8,13,Returning_Visitor,True,32,1515.321429,0.90625,47.35379465625,0.8869051828079176,False
2,115.6,2,503.25,61,1880.271429,0.0,0.013347763,1.036090909,0.0,May,2,2,1,4,Returning_Visitor,False,65,2499.121429,0.9384615384615383,38.44802198461538,0.7523729768314511,False
1,33.5,0,0.0,18,1169.0,0.0,0.011764706,54.38258659,0.0,Dec,2,4,7,2,New_Visitor,False,19,1202.5,0.9473684210526316,63.28947368421053,0.9721413721413722,True
0,0.0,0,0.0,65,1931.512121,0.0,0.025128205,0.0,0.0,Dec,2,2,3,2,Returning_Visitor,False,65,1931.512121,1.0,29.71557109230769,1.0,False
1,140.5,0,0.0,19,1475.166667,0.02037037,0.043333333,16.9796231,0.0,Nov,3,2,2,10,Returning_Visitor,False,20,1615.666667,0.95,80.78333334999999,0.913038993209606,False
1,45.4,0,0.0,15,114.9,0.0,0.025,0.0,0.0,Jul,2,2,3,4,New_Visitor,False,16,160.3,0.9375,10.01875,0.7167810355583282,False
4,250.0,0,0.0,11,418.0,0.0,0.014285714,0.0,0.0,May,2,2,1,2,New_Visitor,False,15,668.0,0.7333333333333333,44.53333333333333,0.625748502994012,False
6,155.0,0,0.0,84,2566.220887,0.0,0.007575758,16.56314545,0.0,Mar,2,2,7,2,Returning_Visitor,False,90,2721.220887,0.9333333333333332,30.23578763333333,0.943040272570126,False
0,0.0,0,0.0,6,114.0,0.0,0.033333333,0.0,0.0,May,2,2,3,1,Returning_Visitor,True,6,114.0,1.0,19.0,1.0,False
0,0.0,0,0.0,3,15.0,0.0,0.066666667,0.0,0.2,May,1,1,3,3,Returning_Visitor,False,3,15.0,1.0,5.0,1.0,False
0,0.0,0,0.0,5,239.0,0.0,0.04,0.0,0.0,Mar,2,2,9,1,Returning_Visitor,False,5,239.0,1.0,47.8,1.0,False
8,377.5128205,3,265.0,60,2062.890972,0.014009662,0.026580162,1.70506715,0.0,Mar,1,1,4,2,Returning_Visitor,False,71,2705.4037925,0.8450704225352113,38.10427876760564,0.7625076070783988,True
0,0.0,3,16.0,35,1621.766667,0.007894737,0.040131579,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,True,38,1637.766667,0.9210526315789472,43.09912281578948,0.9902305985813544,False
5,157.3333333,0,0.0,76,3923.586111,0.000865801,0.013675718,0.0,0.0,Nov,2,2,8,2,Returning_Visitor,True,81,4080.9194443,0.9382716049382716,50.3817215345679,0.9614465966683674,False
1,143.0,4,48.0,16,333.75,0.0,0.003333333,0.0,0.0,Mar,1,1,1,2,New_Visitor,False,21,524.75,0.7619047619047619,24.98809523809524,0.6360171510242972,False
9,175.9333333,0,0.0,28,717.2190476,0.005882353,0.017058824,0.0,1.0,May,2,2,5,4,Returning_Visitor,True,37,893.1523808999999,0.7567567567567568,24.139253537837835,0.8030198014780884,False
0,0.0,0,0.0,5,146.0,0.146666667,0.186666667,0.0,0.0,Mar,3,2,7,3,Returning_Visitor,False,5,146.0,1.0,29.2,1.0,False
0,0.0,0,0.0,38,2259.533333,0.002105263,0.036549708,0.0,0.2,May,2,2,1,3,Returning_Visitor,False,38,2259.533333,1.0,59.4614035,1.0,False
1,0.0,0,0.0,16,2007.0,0.01875,0.054166667,0.0,0.0,Nov,1,1,3,1,Returning_Visitor,False,17,2007.0,0.9411764705882352,118.05882352941175,1.0,False
0,0.0,0,0.0,3,81.0,0.0,0.066666667,0.0,0.0,Mar,1,1,1,1,Returning_Visitor,False,3,81.0,1.0,27.0,1.0,False
7,145.0,1,37.5,130,5252.861501,0.004411765,0.012009804,0.680988542,0.0,Nov,2,2,4,2,Returning_Visitor,False,138,5435.361501,0.9420289855072465,39.38667754347826,0.9664235764325108,True
0,0.0,0,0.0,21,192.9,0.059090909,0.104545455,0.0,0.0,Jul,2,2,1,3,Returning_Visitor,True,21,192.9,1.0,9.185714285714289,1.0,False
0,0.0,0,0.0,17,649.02,0.0,0.017647059,0.0,0.0,June,2,4,3,3,Returning_Visitor,False,17,649.02,1.0,38.17764705882353,1.0,False
2,26.0,0,0.0,4,636.0,0.0,0.025,0.0,0.2,May,3,2,1,19,Returning_Visitor,False,6,662.0,0.6666666666666666,110.33333333333331,0.9607250755287008,False
4,785.2166667,0,0.0,8,450.8,0.016666667,0.016666667,0.0,0.0,Sep,3,2,3,5,Returning_Visitor,False,12,1236.0166667,0.6666666666666666,103.00138889166668,0.3647200010688982,False
0,0.0,0,0.0,14,406.8666667,0.021428571,0.079761905,0.0,0.0,Jul,4,5,3,3,Returning_Visitor,False,14,406.8666667,1.0,29.061904764285718,1.0,False
1,8.0,0,0.0,51,1229.166667,0.0,0.019230769,0.0,0.6,May,2,5,4,6,Returning_Visitor,False,52,1237.166667,0.9807692307692308,23.79166667307692,0.9935336117490142,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Jul,3,2,4,1,Returning_Visitor,True,1,0.0,1.0,0.0,0.0,False
0,0.0,0,0.0,2,56.5,0.0,0.05,0.0,0.0,Nov,8,2,1,3,Returning_Visitor,False,2,56.5,1.0,28.25,1.0,False
0,0.0,0,0.0,4,107.0,0.0,0.05,0.0,0.8,May,2,5,3,2,Returning_Visitor,False,4,107.0,1.0,26.75,1.0,False
0,0.0,0,0.0,6,313.0,0.0,0.05,0.0,0.0,May,2,4,3,1,Returning_Visitor,False,6,313.0,1.0,52.16666666666666,1.0,False
0,0.0,0,0.0,9,145.0,0.066666667,0.122222222,0.0,0.8,May,3,2,1,13,Returning_Visitor,False,9,145.0,1.0,16.11111111111111,1.0,False
10,506.3883929,1,5.0,58,2528.287431,0.001318681,0.005582418,5.552517289,0.0,Nov,3,2,3,10,Returning_Visitor,False,69,3039.6758239,0.8405797101449275,44.053272810144925,0.8317621935605382,False
17,218.741707,4,808.5,74,3591.744196,0.019767442,0.015609868,0.0,0.0,Nov,3,2,1,2,Returning_Visitor,False,95,4618.985903,0.7789473684210526,48.62090424210526,0.7776044940226353,False
3,37.75,1,10.0,24,274.5,0.0,0.006666667,0.0,0.0,Dec,2,2,1,2,New_Visitor,False,28,322.25,0.8571428571428571,11.508928571428571,0.851823118696664,False
0,0.0,0,0.0,3,74.5,0.066666667,0.1,0.0,0.0,Dec,2,2,2,3,New_Visitor,False,3,74.5,1.0,24.83333333333333,1.0,False
0,0.0,0,0.0,3,39.5,0.0,0.033333333,0.0,0.0,Dec,1,1,9,8,New_Visitor,False,3,39.5,1.0,13.166666666666666,1.0,False
3,91.83333333,0,0.0,11,534.0,0.015384615,0.015384615,44.29661538,0.0,May,1,1,1,2,New_Visitor,False,14,625.83333333,0.7857142857142857,44.70238095214285,0.8532623169153304,True
0,0.0,0,0.0,9,102.5,0.0,0.022222222,0.0,0.0,Mar,2,2,1,3,Returning_Visitor,False,9,102.5,1.0,11.38888888888889,1.0,False
2,61.5,0,0.0,15,1950.386667,0.0,0.007291667,0.0,0.0,Nov,2,10,2,4,Returning_Visitor,True,17,2011.886667,0.8823529411764706,118.34627452941176,0.9694316777337636,False
0,0.0,0,0.0,14,429.9166667,0.014285714,0.033333333,0.0,0.0,Nov,1,8,4,11,Returning_Visitor,False,14,429.9166667,1.0,30.708333335714286,1.0,False
7,135.2,5,430.3333333,68,3974.534501,0.013513514,0.019008442,0.0,0.0,Nov,3,2,1,13,Returning_Visitor,True,80,4540.0678343,0.85,56.75084792875,0.8754350476820143,False
0,0.0,0,0.0,12,99.0,0.176923077,0.192307692,0.0,0.8,May,3,2,1,13,Returning_Visitor,False,12,99.0,1.0,8.25,1.0,False
2,19.0,0,0.0,23,1875.744689,0.028571429,0.041156463,0.0,0.0,May,3,2,4,1,Returning_Visitor,False,25,1894.744689,0.92,75.78978756000001,0.9899722637512562,False
9,576.6208333,0,0.0,57,1878.195833,0.003472222,0.010446429,5.002669777,0.0,Nov,2,2,4,8,New_Visitor,False,66,2454.8166663,0.8636363636363636,37.19419191363637,0.7651063555108143,True
9,208.4,0,0.0,13,177.7333333,0.0,0.03125,0.0,0.0,May,1,1,8,4,Returning_Visitor,False,22,386.1333333,0.5909090909090909,17.55151515,0.4602900552020278,False
1,66.4,0,0.0,22,641.4809524,0.0,0.004761905,0.0,0.0,Oct,3,2,4,6,New_Visitor,False,23,707.8809524,0.9565217391304348,30.77743271304348,0.9061989169578905,False
1,42.5,0,0.0,67,2413.754403,0.006153846,0.01030303,0.0,0.0,Dec,1,1,6,1,Returning_Visitor,False,68,2456.254403,0.9852941176470588,36.12138827941176,0.982697232034234,False
5,169.975,3,106.0,90,4792.380767,0.004166667,0.007479289,41.55801982,0.0,Nov,3,2,6,1,Returning_Visitor,False,98,5068.355767,0.9183673469387756,51.71791598979592,0.9455494024715332,True
6,57.25,0,0.0,36,1930.410714,0.0125,0.018083333,21.39566828,0.0,Nov,1,1,1,2,Returning_Visitor,False,42,1987.660714,0.8571428571428571,47.3252550952381,0.9711972976088112,True
0,0.0,0,0.0,8,497.25,0.016666667,0.025,0.0,0.0,Dec,1,8,3,1,Returning_Visitor,True,8,497.25,1.0,62.15625,1.0,False
0,0.0,0,0.0,9,206.6,0.0,0.005555556,0.0,0.0,Jul,2,4,3,4,New_Visitor,False,9,206.6,1.0,22.95555555555556,1.0,False
1,613.6666667,0,0.0,4,957.0,0.161904762,0.096298701,0.0,0.0,Mar,3,2,8,10,Returning_Visitor,False,5,1570.6666667,0.8,314.13333334,0.6092954159463223,False
0,0.0,0,0.0,4,90.8,0.0,0.025,0.0,0.0,Oct,1,1,3,2,Returning_Visitor,True,4,90.8,1.0,22.7,1.0,False
0,0.0,0,0.0,5,0.0,0.2,0.2,0.0,0.6,May,3,2,8,13,Returning_Visitor,False,5,0.0,1.0,0.0,0.0,False
0,0.0,0,0.0,85,2112.101515,0.003529412,0.014196078,0.0,0.0,Nov,2,2,1,3,Returning_Visitor,False,85,2112.101515,1.0,24.848253117647054,1.0,False
1,74.6,0,0.0,8,810.0,0.0,0.036666667,10.67716934,0.0,Nov,2,2,1,4,Returning_Visitor,False,9,884.6,0.8888888888888888,98.28888888888888,0.9156680985756274,False
0,0.0,0,0.0,3,395.0,0.0,0.066666667,0.0,0.0,Feb,1,1,3,3,Returning_Visitor,False,3,395.0,1.0,131.66666666666666,1.0,False
1,46.5,0,0.0,40,2338.95,0.017073171,0.030325203,9.472914356,0.0,Nov,1,1,1,3,Returning_Visitor,False,41,2385.45,0.975609756097561,58.18170731707317,0.9805068226120858,True
1,383.8,0,0.0,11,92.4,0.0,0.016666667,0.0,0.0,Jul,2,2,9,2,New_Visitor,False,12,476.2000000000001,0.9166666666666666,39.68333333333334,0.1940361192776144,False
0,0.0,0,0.0,6,236.5,0.0,0.016666667,0.0,0.0,Mar,1,1,1,3,Returning_Visitor,True,6,236.5,1.0,39.41666666666666,1.0,False
0,0.0,2,193.25,106,5633.538274,0.008878505,0.017232253,0.0,1.0,May,3,2,8,2,Returning_Visitor,True,108,5826.788274,0.9814814814814816,53.95174327777777,0.9668342162246892,False
2,39.2,0,0.0,6,86.4,0.0,0.028571429,0.0,0.0,Nov,1,1,3,3,New_Visitor,False,8,125.6,0.75,15.7,0.6878980891719745,False
0,0.0,0,0.0,3,54.4,0.0,0.066666667,0.0,0.0,Aug,1,1,3,3,Returning_Visitor,True,3,54.4,1.0,18.133333333333333,1.0,False
4,183.25,1,21.0,20,651.4,0.0,0.004166667,0.0,0.0,Mar,1,1,1,2,Returning_Visitor,False,25,855.65,0.8,34.226,0.7612925845848185,False
0,0.0,0,0.0,12,417.0,0.1,0.125,0.0,0.6,May,2,5,1,3,Returning_Visitor,False,12,417.0,1.0,34.75,1.0,False
